Test_Labels	Domain_Type	Abstract_Type	CrossL_Fracture	Left_Edge	Right_Edge	Size
chac1251_n_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	4	12	9
chac1251_n_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	4	4	1
chac1251_n_free.occurrence_maximal	indeterminate	free.occurrence	NA	3	12	10
chac1251_n_free.occurrence_minimal	indeterminate	free.occurrence	NA	4	4	1
chac1251_n_noninterruption_complex	morphosyntactic	noninterruption	complex	3	6	4
chac1251_n_noninterruption_simplex	morphosyntactic	noninterruption	simplex	3	5	3
chac1251_n_nonpermutability_maximal	morphosyntactic	nonpermutability	NA	2	12	11
chac1251_n_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	2	2	1
chac1251_n_nonpermutability_scopal_minimal	morphosyntactic	nonpermutability	scopal	2	6	5
chac1251_n_proform	morphosyntactic	proform	NA	1	12	12
chac1251_n_recursion.based_compound	morphosyntactic	recursion.based	NA	3	4	2
chac1251_n_recursion.based_maximal_tihi.conjunction	morphosyntactic	recursion.based	NA	2	8	7
chac1251_n_recursion.based_minimal_tihi.conjunction	indeterminate	recursion.based	NA	3	6	4
chac1251_n_recursion.based_naxeni	morphosyntactic	recursion.based	NA	3	4	2
chac1251_n_recursion.based_possession_maximal_genitive	morphosyntactic	recursion.based	possession	2	10	9
chac1251_n_recursion.based_possession_minimal_genitive	indeterminate	recursion.based	possession	4	4	1
chac1251_n_segmental_consonant.assimilation_alveolarization	phonological	segmental	consonant.assimilation	3	4	2
chac1251_n_segmental_consonant.insertion_glottal.stop.insertion	phonological	segmental	consonant.insertion	3	4	2
chac1251_n_segmental_vowel.deletion_apocope	phonological	segmental	vowel.deletion	4	12	9
chac1251_n_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	3	12	10
chac1251_n_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	3	4	2
chac1251_n_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	4	10	7
chac1251_n_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	1	12	12
chac1251_n_suprasegmental_tone.deletion_minimal_h.deletion	phonological	suprasegmental	tone.deletion	3	12	10
chac1251_n_suprasegmental_tone.insertion_maximal_h.tone.insertion	phonological	suprasegmental	tone.insertion	3	6	4
chac1251_n_suprasegmental_tone.insertion_minimal_h.tone.insertion	phonological	suprasegmental	tone.insertion	3	4	2
chac1251_v_ciscategorial.selection_broad	morphosyntactic	ciscategorial.selection	broad	1	28	28
chac1251_v_ciscategorial.selection_narrow_maximal	morphosyntactic	ciscategorial.selection	narrow	8	24	17
chac1251_v_ciscategorial.selection_narrow_minimal	morphosyntactic	ciscategorial.selection	narrow	8	16	9
chac1251_v_deviations_cumulative.exponence_optional	indeterminate	deviations	cumulative.exponence	7	9	3
chac1251_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	7	25	19
chac1251_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	8	24	17
chac1251_v_noninterruption_complex	morphosyntactic	noninterruption	complex	7	20	14
chac1251_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	7	11	5
chac1251_v_nonpermutability_rigid_maximal	morphosyntactic	nonpermutability	rigid	7	26	20
chac1251_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	7	10	4
chac1251_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	7	12	6
chac1251_v_recursion.based_asyndetic_maximal_asyndetic	morphosyntactic	recursion.based	asyndetic	6	17	12
chac1251_v_recursion.based_asyndetic_minimal_asyndetic	indeterminate	recursion.based	asyndetic	7	13	7
chac1251_v_recursion.based_nominalization_maximal_agentive.nominalization	morphosyntactic	recursion.based	nominalization	7	24	18
chac1251_v_recursion.based_nominalization_maximal_instrumental.nominalization	morphosyntactic	recursion.based	nominalization	6	24	19
chac1251_v_recursion.based_nominalization_minimal_agentive.nominalization	indeterminate	recursion.based	nominalization	7	24	18
chac1251_v_recursion.based_nominalization_minimal_instrumental.nominalization	indeterminate	recursion.based	nominalization	6	24	19
chac1251_v_recursion.based_reduplication_maximal	morphosyntactic	recursion.based	reduplication	7	22	16
chac1251_v_recursion.based_reduplication_minimal	indeterminate	recursion.based	reduplication	7	10	4
chac1251_v_recursion.based_same.subject_maximal_same.subject	morphosyntactic	recursion.based	same.subject	6	17	12
chac1251_v_recursion.based_syndetic_maximal_different.subject	morphosyntactic	recursion.based	syndetic	6	24	19
chac1251_v_recursion.based_syndetic_minimal_different.subject	indeterminate	recursion.based	syndetic	7	22	16
chac1251_v_recursion.based_syndetic_minimal_same.subject	indeterminate	recursion.based	syndetic	7	11	5
chac1251_v_segmental_consonant.assimilation_alveolarization	phonological	segmental	consonant.assimilation	7	8	2
chac1251_v_segmental_consonant.deletion_latent.stop.deletion	phonological	segmental	consonant.deletion	8	24	17
chac1251_v_segmental_consonant.insertion_maximal_glottal.insertion	phonological	segmental	consonant.insertion	6	28	23
chac1251_v_segmental_consonant.insertion_minimal_glottal.insertion	phonological	segmental	consonant.insertion	7	8	2
chac1251_v_segmental_consonant.insertion_minimal_glottal.stop.insertion	phonological	segmental	consonant.insertion	7	10	4
chac1251_v_segmental_vowel.insertion_maximal	phonological	segmental	vowel.insertion	7	24	18
chac1251_v_segmental_vowel.insertion_maximal_same.vowel.insertion	phonological	segmental	vowel.insertion	7	24	18
chac1251_v_segmental_vowel.insertion_minimal_same.vowel.insertion	phonological	segmental	vowel.insertion	7	10	4
chac1251_v_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	7	25	19
chac1251_v_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	7	8	2
chac1251_v_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	8	12	5
chac1251_v_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	1	27	27
chac1251_v_suprasegmental_tone.deletion_minimal_h.deletion	phonological	suprasegmental	tone.deletion	6	27	22
chac1251_v_suprasegmental_tone.insertion_maximal_h.insertion	phonological	suprasegmental	tone.insertion	1	24	24
chac1251_v_suprasegmental_tone.insertion_minimal_h.insertion	phonological	suprasegmental	tone.insertion	7	17	11